,Company,Regional Data,Company Size,Industry,Revenue,Founded,Job Description
0,Westlock Motors,Ontario,,Retail & Wholesale,,,"RELOCATE TO WESTLOCK, ALBERTA - where your earnings can go towards more than just paying the bills!
Westlock Motors is striving to offer the best service department in Alberta and are looking for AUTOMOTIVE SERVICE TECHNICIANS to join our team! We are a family-owned, well-recognized Chevrolet dealership that offers a fun, family-orientated atmosphere to work in. Apprentices in their 3rd or 4th year are welcome to apply!
**We are prepared to offer relocation assistance, including toolbox relocation assistance depending on the candidate and situation! **
Here’s what you can expect from our Service Shop:

Skilled Technicians can expect to earn $80,000 or MORE annually, with enough work to produce at 100% efficiency or more
We offer a wage between $37 to $39 per flat rate hour for Journeyman Technicians, with the ability to earn additional productivity bonuses each month
Our Service Advisor team are train veterans in the lane, meaning more opportunity for you!
We’ll provide you with benefits starting on your first day of employment
A true family-orientated shop that engages in regular company gatherings such as BBQs, camping trips, golf events and more!
Travel reward program to so you can travel on us
A shop that offers a set of skilled, quality Technicians – many of whom receive GM Guild awards each year!
A stable, family-owned business who has been a part of the community for over 25 years!

Why make a move to Westlock, Alberta?

The average 3-bedroom home in Westlock ranges from $200,000 - $280,000...versus the average 3-bedroom home in a city centre like Edmonton ranges from $400,00 and more! This means your hard-earned money is going FURTHER in Westlock which allows for a comfortable cost of living for you and your family
You are only a 45-minute drive to the nearest COSTCO
Westlock is only 1 hour away from Rogers Place and the Edmonton Oilers
You are a 1 hour drive away from an international airport
Westlock offers numerous parks and trails to enjoy the outdoors, including an 18-hole golf course, aquatic and sports centre, museums and more!
For those who enjoy to spend their weekends getting away, Westlock is a short drive away from incredible camping and hunting areas, and some of the best spots for fishing!

If you’re looking for a positive move in your career and a new place to call home, APPLY TODAY or call HR at 403-942-8066 to book your interview!
Key Words: automotive service technician, service technician, automotive service technician Alberta, automotive service technician southern Alberta, senior apprentice, licensed mechanic, mechanic, journeyman mechanic, technician certification, technician hiring, automotive technician hiring, gm technician experience, technician hours, technician productivity, automotive technician career change, auto technician career change, technician interview questions, technician indeed, technicians looking for work, automotive technician needed
Job Type: Full-time
Salary: From $80,000.00 per year
Benefits:

Dental care
Disability insurance
Employee assistance program
Extended health care
Life insurance
Paid time off
Relocation assistance
RRSP match
Vision care

Schedule:

Monday to Friday
Weekends as needed

Supplemental pay types:

Bonus pay

Work Location: In person"
1,"Burchell Glass, Inc.","2042 Rogers Road, Perth, ON",,"Construction, Repair & Maintenance Services",,,"Burchell Glass, Inc. is looking for window and door installers and project managers to help with commercial storefronts, curtain wall systems, residential windows, glass shower enclosures, etc. for numerous projects in the Perth and surrounding Ottawa and Kingston area.
Prior construction experience and/or residential/commercial glazing experience is preferred; however, applicants with good carpentry skills, a good work ethic, and a good driving record will qualify for necessary training through Burchell Glass, Inc.
RequirementsWe are looking for candidates who are physically fit to lift, have a great work ethic, have the ability to read a tape measure and shop drawings, break aluminum flashing and operate various kinds of power tools and shop equipment. Working in all elements is required. Must be able to work well with others. Successful applicants must have a valid driver’s license. We do offer working at heights training and genie / scissor lift training to qualified candidates.
WageDepends on experience and qualifications.Full Employee Benefit PackageJob TypeFull-timeMonday-Friday (with optional weekend hours)If you or someone you know fits the above criteria, please send a referenced email address or call 613-264-8662.2042 Rogers Rd, Perth, ON K7H 1P9, Canada
Job Types: Permanent, Full-time
Salary: $18.00-$24.00 per hour
Benefits:

Casual dress
Company events
Dental care
Disability insurance
Extended health care
On-site parking
Paid time off
Vision care

Schedule:

10 hour shift

Supplemental pay types:

Overtime pay

Education:

Bachelor's Degree (preferred)

Experience:

Construction: 1 year (preferred)
"
2,Stahl Peterbilt,"340 Mackenzie Boulevard, Fort McMurray, AB",51 to 200,Vehicle Repair & Maintenance,Hidden by employer,2003.0,"Stahl Peterbilt believes our employees are the key to our achievements and we strive to celebrate theirs as well. Our commitment to employee satisfaction and success starts at the top, providing training and opportunities for employees to grow their skillsets, and in turn, their careers. We pride ourselves in being a family-owned company with a friendly, professional, and collaborative environment that is the backbone of our company culture.
When you work for Stahl Peterbilt, you can not only expect to work in state-of-the-art, clean, safe and industry-leading facilities, but for an award-winning company. Stahl Peterbilt has been named “North American Heavy-Duty Dealer of the Year” twice in conjunction with receiving Peterbilt’s “Best in Class Award” 14 out of 15 years. Our three Service locations have been awarded and recognized as Peterbilt Platinum Service Centres due to our dedication and commitment to customer uptime.
Stahl Peterbilt was established in 2003 and is honoured to sell and support the Peterbilt brand. Proudly serving Northern Alberta with branches in Edmonton, Grande Prairie and Fort McMurray, Stahl Peterbilt is a Western Canada leader in heavy duty and medium duty truck sales, service, and parts. Our mission is to consistently provide the highest level of customer service in all areas of our business.
To learn more about our company, visit us on Instagram, Facebook, Twitter and LinkedIn.
Job Description
We are currently seeking a dynamic and reliable Service Technician for a full-time position in Fort McMurray. We are looking for an individual who thrives in a collaborative environment, possesses a can-do attitude, and excels in fast-paced settings. Your role will involve diagnosing, repairing, and performing comprehensive service maintenance on heavy-duty trucks. Previous experience in truck and transport maintenance is essential, while any familiarity with MX and Cummins engines would be highly advantageous.
Job Description and Responsibilities:
Duties and responsibilities of the position include, but are not limited to:

Diagnose, repair, and perform maintenance to diesel engines, transmissions, rear ends, differentials, electrical/electronics, power systems, hydraulic systems, and other service work as required
Completes all maintenance and repair activities in a safe manner and ensures work area is clean and organized according to company policies and procedures
Conducts business on behalf of Stahl Peterbilt in a professional manner and represents Stahl Peterbilt culture to ensure fulfillment of company vision and values

Employment Qualifications:

Must be a Certified Red Seal Truck and Transport Mechanic
Cummins, MX, and/or CAT certified with Peterbilt/Kenworth experience, and/or dealership experience would all be relevant knowledge to be successful in this position.
Knowledge of engine and gear repair, experience with computer diagnostics, and excellent trouble shooting skills are assets.
Class 1 or 3 license is an asset.
Must have own tools.
Preference will be given to Fort McMurray residents.
Must be able to pass a pre-employment medical and criminal record check prior to hiring

What We Offer:

Competitive hourly wages
Comprehensive benefits package including medical, dental, life insurance and RRSP matching.
Possibility for tuition and skills improvement reimbursement
Opportunities for career advancement within the company
Friendly and safe environment with high level of job satisfaction and stability
State of the art facilities
Employee training track through our portals and OEM courses
Annual tool and boot allowance
Employee draws for Edmonton Oilers, Edmonton Elks and Rogers Place events
Employee lunch days including Summer BBQs
Staff pricing on retail purchases in Parts Department

Additional Comments:
Stahl Peterbilt would like to thank you for your interest but will only contact applicants if they are selected for interview.
Job Types: Full-time, Permanent
Benefits:

Dental care
Disability insurance
Employee assistance program
Extended health care
Life insurance
On-site parking
Paid time off
RRSP match
Store discount
Tuition reimbursement
Vision care

Flexible Language Requirement:

French not required

Schedule:

Monday to Friday
Weekends as needed

Application question(s):

Are you a certified Journeyman or Red Seal Technician?

Experience:

Dealership: 1 year (preferred)

Work Location: In person"
3,QMC Metering Solutions,"Port Coquitlam, BC",51 to 200,"Energy, Mining & Utilities",,,"QMC Metering Solutions supplies and integrates several meter technologies to effectively monitor the consumption of electricity, water, gas and thermal energy consumption of commercial and residential properties.
We are looking for a motivated and experienced Meter Technician to join our team servicing our clients by troubleshooting and verifying meter installations. The position is based in Port Coquitlam.
Responsibilities Include:

Work with contractors to setup, test and verify automated meter reading system installations, both in the field and remotely from our office.
Program and setup data acquisition servers for new and existing sites.
Assist in the installation of our Rogers VPN network of cellular IP modems
Meter reading for billing services
Troubleshoot issues related to meter system communications.
Perform Measurement Canada installation verification
Create “As-Built” records for installed meter systems.
Maintain and provide warranty service for existing meter systems.
Provide technical support to clients and our Meter Reading Service Administrators.
Ability to travel as required

Qualifications / Experience.

Able to work with LAN/WAN networks
Able to read single line drawings
Electrical or Mechanical background is considered an asset
Good knowledge of electrical distribution systems
Competent with standard Electricians tools
Ability to work on a construction site
Highly skilled in a Windows Office environment; Excel, Word, Outlook
Excellent interpersonal, verbal and written communication skills, must be fluent in English
Good customer service skills with a professional approach
Ability to manage high work volume and shifting priorities
Ability to work independently or in a team environment
Valid BC Driver’s License

Job Type: Full-time
Benefits:

Casual dress
Commuter benefits
Company events
Company pension
Dental care
Employee assistance program
Extended health care
Life insurance
On-site parking
Paid time off
RRSP match
Tuition reimbursement
Vision care
Wellness program

Schedule:

8 hour shift

Experience:

Mechanical or Electrical: 1 year (preferred)

Work Location: In person"
4,Rogers Communications,"6885 Kennedy Rd, Mississauga, ON","more than 10,000",Telecommunications,more than $10B (USD),1960.0,"
Come play a key role in building the future of Sports & Media! Everyone wants to be part of a transformational team – and that’s exactly what we’re building at Rogers Sports & Media. A team that innovates and a team that wins.

 At Rogers Sports & Media we are committed to creating and growing teams that are digital-first, fast-moving and bold-thinking and are focused on delivering impact with everything they do. Our impressive collection of assets includes media properties, sports teams, sports events & production, venues, e-commerce platforms and a close connection with our Connected Home and Wireless team. Collectively, we touch the lives of 30 million of Canadians every month!

 Not only is our business strong, but so is our culture. We genuinely care about each other and working in an environment that allows each of us to bring our best authentic selves to work. That starts with our firm commitment to a diverse, inclusive and safe workplace. We’re also dedicated to giving back by using our media megaphone to help Canadians who need it most. Our team is All IN on diversity and inclusion – find out more at www.allinforequity.ca.

 As we grow our team, the well-being of our team members remains our top priority. To ensure the health and safety of our team members, including those in the recruitment process, our team members are working from home, and are equipped to do so safely and efficiently.
 Are you up for the challenge and the fun? If so, consider the following opportunity!

 We are seeking a Warehouse Associates to work in our National Distribution Centre. We are looking for talented individuals to join our winning team where you will have a chance to grow and deliver world class service to our customers.

 ***Please note that the shift is working during the day shift from 7:30 am to 4;00 pm - working Tuesday, Wednesday, Thursday, Friday and Saturday with days off Sundays & Mondays***

 Responsibilities

Focus on excellence in execution – process customer orders and returns on time and accurately
Execute all customer facing tasks with precision and speed
Meet individual cycle time and efficiency targets
Meet all Customer Service Metric targets
Follow all policies & procedures


 Receiving

Unload product from trucks
Match products in shipments to purchase orders
Inspect, sort, count & verify inventory
Stage products for put away activities


 Returns & Restocking

Unload product from shipping containers and stage for crediting activities
Process credits for customer returns
Sort & control inventory for restock, return to vendor or liquidation
Inspect & prepare inventory for restocking
Put away inventory into corresponding location


 Fulfillment

Put away inventory into corresponding location
Print & prepare orders for picking activities
Pick customer orders and stage for packing activities
Pack, label & check customer orders and stage for shipping activities
Scan, weigh & ship customers’ orders and load onto trucks
Process inventory kitting activities as requested


 General

Maintain a clean & safe workstation
Maintain equipment & tools
Organize & maintain inventory of packing materials (bins, boxes, collates etc.)


 Qualifications

Excellent communication skills in both verbal and written
1+ year of experience in a warehouse environment
Comfortable using a computer
Must be flexible to work shifts as required and overtime as needed to meet business needs


 What makes us different makes us stronger. Rogers has a strong commitment to diversity and inclusion. Everyone who applies for a job will be considered. We recognize the business value in creating a workplace where each team member has the tools to reach their full potential. At Rogers, we value the insights and innovation that diverse teams bring to work. We work with our candidates with disabilities throughout the recruitment process to ensure that they have what they need to be at their best. Please reach out to our recruiters and hiring managers to begin a conversation about how we can ensure that you deliver your best work. You matter to us! For any questions, please visit the Rogers FAQ.
 Schedule: Full time
 Shift: Day
 Length of Contract: Not Applicable (Regular Position)
 Work Location: 6885 Kennedy Road (177), Mississauga, ON
 Travel Requirements: None
 Posting Category/Function: Warehouse / Distribution & Warehouse Worker
 Requisition ID: 290868

 Posting Notes: Sales & Marketing
"
5,University of Ottawa,"40 Ruskin St, Ottawa, ON","1001 to 5,000",Education,$500M to $1B (USD),1848.0,"

  Job Type:
  Employee
 

   Duration in Months (for fixed-term jobs):
  12
 

   Job Family:
  Administrative Support
 

   # of Open Positions:
  1
 

   Faculty/Service - Department:
  Animal Ethics & Compl. Office
 

   Campus:
  Roger Guindon Hall
 

   Union Affiliation:
  SSUO
 

   Date Posted:
  November 23, 2023
 

   Closing Date:
  December 04, 2023
 
   Note: Applications will be accepted until 11:59 PM on the day prior to the Posting End Date above
 


   Hours per week:
  35
 

   Salary Grade:
  SSUO Grade 06
 

   Salary Range:
  $50,642.00 - $63,967.00
 

   Position Purpose
   Reporting to the Director, Research and Program Support, the incumbent assists with and performs a variety of tasks to support the administrative operations of a department, specific program or event, while ensuring compliance with applicable policies and procedures.
 


   In this role, your responsibilities will include:
 

 Administrative Tasks: Performs a variety of administrative tasks to support the operations of the department/program/event, such as entering and updating data, drafting and preparing a variety of documents, and managing schedules and mail, in keeping with uOttawa quality standards.
 Customer Service: Welcomes people who arrive in person; responds appropriately to general requests for information from customers and guides them in applying the general internal procedures of the department/program/event with a view to providing high quality service. Requests for information may be received and handled in person, by email, by phone or by mail.
 Records Management: Implements and maintains an effective filing and records management system to preserve confidentiality of the records and ensure that complete and accurate documentation is available for future reference or audit purposes. Maintains accurate records of key holders and related security access information for staff of the sector to ensure confidentiality of the records.
 Documentation: Drafts and updates documents for internal use on procedures, processes and systems related to the incumbent’s responsibilities.



   What you will bring:
 

 Postsecondary education in administration and office technology, or an equivalent combination of education and work experience.
 Minimum two (2) years of demonstrated experience in a similar role.
 Experience with computer systems and applications such as Windows, word processing software, spreadsheets, databases, the internet and email.
 Excellent communication, interpersonal and customer service skills.
 Experience interpreting, explaining and applying policies and regulations.
 Experience in bilingual administrative writing.
 Experience producing reports.
 Ability to produce high quality work under pressure while meeting strict deadlines.
 Initiative, self-reliance and good judgment.
 Strong organizational skills.
 Bilingualism – English and French (spoken and written).



   Key Competencies at uOttawa:
   Here are the required competencies for all or our employees at uOttawa:
  
 Planning: Organize in time a series of actions or events in order to realize an objective or a project. Plan and organize own work and priorities in regular daily activities.
   Initiative: Demonstrate creativity and initiative to suggest improvements and encourage positive results. Is proactive and self-starting. Show availability and willingness to go above and beyond whenever it is possible.
   Client Service Orientation: Help or serve others to meet their needs. This implies anticipating and identifying the needs of internal and external clients and finding solutions on how to meet them.
   Teamwork and Cooperation: Cooperate and work well with other members of the team to reach common goal(s). Accept and give constructive feedback. Able to adjust own behaviour to reach the goals of the team.
  
 The University of Ottawa embraces diversity and inclusion in the workplace. We are passionate about our people and committed to employment equity. We foster a culture of respect, teamwork and inclusion, where collaboration, innovation, and creativity fuel our quest for research and teaching excellence. While all qualified persons are invited to apply, we welcome applications from qualified Indigenous persons, racialized persons, persons with disabilities, women and LGBTQIA2S+ persons. The University is committed to creating and maintaining an accessible, barrier-free work environment. The University is also committed to working with applicants with disabilities requesting accommodation during the recruitment, assessment and selection processes. Applicants with disabilities may contact hrtalentmanagement@uottawa.ca to communicate the accommodation need. All qualified candidates are encouraged to apply; however, Canadians and permanent residents will be given priority.
  
 Note: if this is a union position: The hiring process will be governed by the current collective agreement related to the union affiliation noted above; you can click 
  
   here
   to find out more.
  

If this is a front-line position with responsibilities to interact with students, selected candidates must be rated at the Low Advanced proficiency level or higher for both oral comprehension and reading comprehension in their second official language. The rating is determined by a proficiency test designed by the Official Languages and Bilingualism Institute.



   Prior to May 1, 2022, the University required all students, faculty, staff, and visitors (including contractors) to be fully vaccinated against Covid-19 as defined in Policy 129 – Covid-19 Vaccination. This policy was suspended effective May 1, 2022 but may be reinstated at any point in the future depending on public health guidelines and the recommendations of experts.
 
"
6,Caleres Inc.,"1857 Rogers Road, Perth, ON","more than 10,000",Retail & Wholesale,$1B to $5B (USD),1878.0,"
 Overview: 
 
   Founded in 1878 in St. Louis, MO, Caleres is a prominent footwear company that boasts an impressive portfolio. As the parent company of 15 diverse brands such as 
  Famous Footwear, Sam Edelman, Naturalizer, Dr. Scholl's, and Allen Edmonds and many more, Caleres offers a wide range of footwear options to suit every individual's taste and preference.
 
 
Location: 1857 Rogers Road, Perth, ON, K7H 1P7

 Compensation and Hours:

 Progressive salary: $19.59 p/h starting out; $20.75 p/h after 3 months; $24.80 p/h after 12 months
 Position will be 1st shift from 7am to 3:30pm (Monday - Friday)
 Union membership required
 What You’ll Be Doing: 
 
Unload and inspect inbound freight: Move freight from sea containers and trailers, then inspect for vendor compliance and any ticketing when required
 Move freight: Physically and electronically move freight to assigned locations within the building using RF Scanners
 Perform cycle count functions: Comply with audit requirements and as required to maintain DC inventory accuracy
 Perform picking and packeging: Pick Store allocations and eComm orders daily by using RF Scanners and then package them for shipments


 Perks you will enjoy!

 Our Shoe Discounts: No matter your style, we’ve got your perfect fit covered with a 30% Associate Discount across Caleres brands
 Benefit Offerings: To learn more details about our total rewards, visit yourcaleres.ca
 Relaxed Dress Code: At Caleres, we believe that the right shoes can take you anywhere, and your authentic self is always in style. Feel free to come dressed in what makes you comfortable 
Qualifications that Make You the Perfect Fit!: 
 
Grade 12 or equivalent
 Basic computer skills
 2 Years’ experience in related field an asset but not required
 WMS (Warehouse Management System) experience is an asset but not required
 RF handheld Scanners experience is an asset but not required


 Caleres is an Equal Opportunity Employer by choice. We believe our company should be as diverse as the consumers we serve. We seek and engage talented individuals from all backgrounds, ethnicities, genders, lifestyles, and belief systems.
"
7,Roger Neilson House,"399 Smyth Rd, Ottawa, ON",,,,,"Roger Neilson House is an eight-bed, pediatric palliative care hospice on the grounds of the Children’s Hospital of Eastern Ontario (CHEO) in Ottawa. We are currently looking for dynamic, innovative, and flexible professionals who are interested in working with our team to meet the needs of the children and families we serve.
Position(s): Full-time and/or Part-Time Housekeeper and Receptionist
Salary Range: $19.23 to $23.60 per hour
Full-Time: Benefits, Vacation and Pension
Part-Time: Percentage in Lieu of Benefits and Vacation, and Optional Pension
______________________________________________________________________________
TITLE:
Housekeeper and Receptionist
REPORTS TO:
Manager, Roger Neilson House and CHEO Palliative Care Service
Roger Neilson House meets the unique palliative care needs of newborns, children, youth and their families. We lead by advancing clinical care and family support, and by learning through research and sharing knowledge. We enrich the quality of lives, no matter how short.
SUMMARY:
The Reception and Housekeeping Aide is a member of the Roger Neilson House (RNH) team and is responsible for completing a variety of housekeeping tasks to ensure a clean, comfortable, and safe environment for all who work at and access the hospice. Additionally, the Reception and Housekeeping Aide will support the reception desk and ensure visitor flow is managed in the absence of a reception volunteer. As an active member of the care team, the Reception and Housekeeping Aide collaborates with the care team to identify priorities and needs. Professionalism, confidentiality, and a strict adherence to infection control standards and RNH practices are required.
CORE RESPONSIBILITIES:
Housekeeping responsibilities:

Adhere to infection control standards and RNH practices
Work closely with the team to assess and carry out housekeeping needs
Clean/wash/disinfect floors, surfaces, common-use objects, etc. in offices and common areas on the main floor and basement
Empty trash baskets and recycling containers as needed
Maintain entrance to building to ensure a clean and clutter free area
Prepare meeting rooms with refreshments and clean up after meetings as needed
Monitor and report any health and safety issues

Reception responsibilities:

Prioritize fulfilling the reception role in the absence of a reception volunteer
Welcome and support visitors by greeting them in a friendly and courteous manner
Remain current and in compliance with the reception volunteer procedure manual, which includes instructions on matters such as: safety, visitors, parking, receiving phone calls, donations, and honour guards
Ensure confidentiality of materials and information related to the house and its members
Demonstrates values, attitudes and beliefs towards working with children that reflects the RNH Code of Conduct to Protect Children in our Care, including maintenance of professional boundaries

QUALIFICATIONS:

Knowledge of, and the ability to use, cleaning equipment and solutions
In depth understanding of cleaning procedures and infection control procedures
Demonstrated ability to plan, organize, and prioritize workload
Excellent interpersonal skills
Strong problem solving skills
Strong verbal and written English communication skills
Demonstrated ability to respond to children and families in sensitive situations
Ability to work individually, as well as a collaborative member of a team
Ability to communicate effectively with guests, families, and staff
Ability to establish and maintain appropriate professional, personal boundaries
Physical ability to carry out duties of the position
Basic computer skills in MS Office

Roger Neilson House is committed to providing a safe environment for children. All applicants are thoroughly screened using background checks and a review process.
Interested and qualified candidates are invited to complete the job application form found on our website.
For any questions please contact Nahal Yazdani, Manager, Roger Neilson House, at info@rogerneilsonhouse.ca.
Should the applicant require any accommodations during the application process please notify the Manager of Roger Neilson House as per the Accessibility for Ontarians with Disabilities Act.
Roger Neilson House thanks all applicants for their interest, however, only those candidates who meet the requirements for an interview will be contacted.
Posting Date: November 8, 2023
Closing Date: November 24, 2023
Job Types: Permanent, Part-time, Full-time
Salary: $19.23-$23.60 per hour
Benefits:

Company pension
Dental care
Employee assistance program
Extended health care
Life insurance
On-site parking
Paid time off
Tuition reimbursement
Wellness program

Schedule:

8 hour shift
Day shift
Evening shift
Monday to Friday
Weekends as needed

Application question(s):

Do you have experience with residential or commercial cleaning?
Are you comfortable working in a pediatric palliative care setting (see the job description and our website for full details)?
Are you available for 12pm-8pm shifts?

Work Location: Hybrid remote in Ottawa, ON K1H 8L2
Application deadline: 2023-11-24Expected start date: 2023-12-11"
8,Rogers Communications,"10 Dyas Rd, Toronto, ON","more than 10,000",Telecommunications,more than $10B (USD),1960.0,"

At Rogers, we put our customers first in everything we do! We’re growing our Customer Experience teams and are looking for team members who are committed to showing our customers and Canadians that we are with them all the way. Our Customer Experience team is enthusiastic, empathetic, and moved to make a difference –we’re passionate about people and ready to provide the ultimate customer experience to our customers. This position allows you to work from home! At Rogers, we're committed to connecting Canadians. Ready to build a rewarding career with us? If so, consider the following opportunity:

 Who we’re looking for

 We are looking for Service Technicians for 3 of our locations Scarborough, Etobicoke and North York areas to be a part of our team that supports millions of customers with high-speed Internet, TV, and Smart Home Monitoring to keep Canadians connected to the people and things that matter most.

 Are you up for the challenge and the fun? If so, consider the following opportunity:

 What’s in it for you?
 We believe in investing in our people and helping them reach their potential as valuable members of our team.

 Competitive Salary 


Enjoy discounts up to 50% off Blue Jays tickets, Rogers, and Fido Services, 25% off TSC (Today s Shopping Choice) (Today s Shopping Choice) items, and 20% discount on all wireless accessories sold in Rogers Stores.
 Health & Dental Benefits, Pension plan and Stock Matching options
 Growth & Development opportunities to grow in Field Operations
 Receive mentorship from NCC, HE and other roles outside Tech Ops
 Work for an organization committed to environmental protection
 We are an organization with a strong commitment to diversity and inclusion with employee resource groups supporting equity – including groups representing People of Colour, 2SLGBRTQIA+, Indigenous Peoples, Persons with Disabilities and Women.


 What you’ll do:

 Installation and service of high-speed internet, home phone and smart home monitoring products


 Inform customers of enhanced company products to secure increased sales
 Complete company documentation pertaining to calls in accordance with the department processes and standards
 Complete all assigned projects within established time parameters and standards
 This Position is covered under the CBA (Collective Bargaining Agreement) Metro Cable TV Maintenance and Service Employee Association


 What you bring:

 Demonstrate behaviours which support the Key Success Factors: Accountability, Adaptability & Customer 1st
 Exhibit role competencies; Innovation/creative thinking; Problem-solving/judgement; achievement orientation
 Have a valid driver's licence and be able to pass and complete a criminal record check and have a clear driving record
 Ability to work flexible rotating shifts and schedules, days, nights, weekends, and holidays
 Willing and able to work in adverse weather conditions
 Must be able to lift and move equipment (approx. 80lbs) and work on ladders/poles at heights of up to 40ft.
 Must have knowledge in Wi-Fi and general computer troubleshooting skills
 Previous technical Telecommunications experience considered an asset but not a requirement


 Schedule: Full time Shift: Rotating Length of Contract: No Selection Work Location: 10 Dyas Road (234), North York, ON Travel Requirements: None Posting Category/Function: Field Operations & Installation Requisition ID: 286408  At Rogers, we believe the key to a strong business, is a diverse workforce where equity and inclusion are core to making everyone feel like they belong. We do this by embracing our diversity, celebrating our different perspectives, and working towards creating environments that empower our people to bring their whole selves to work. Everyone who applies for a job will be considered. We recognize the business value in creating a workplace where each team member has the tools to reach their full potential by removing any barriers for equal participation. We work with our candidates who are experiencing a disability throughout the recruitment process to ensure that they have what they need to be at their best. Please reach out to our recruiters and hiring managers to begin a conversation about how we can ensure that you deliver your best work. You matter to us! For any questions, please visit the Recruitment Process FAQ.
 Successful candidates will be required to complete a background check as part of the hiring process.
 Posting Notes: Customer Experience
"
9,Rogers Communications,"33 Dundas St E, Toronto, ON","more than 10,000",Telecommunications,more than $10B (USD),1960.0,"

Are you ready to take your career to new heights and be a part of a dynamic team at Rogers Sports & Media? We believe in creativity, innovation, and collaboration in everything we do, and we are looking for people who share this mindset to join us. With a monthly reach of 30 million Canadians, you can help shape the future of sports, news, e-commerce, and entertainment. At Rogers, we value diversity and inclusivity and believe that every voice matters. Join us today and be a part of a team that is redefining the future of media.

 Are you a talented storyteller, brimming with new ideas? Does the idea of a fast-paced, multi-platform newsroom seem like your ideal environment? Then CityNews Toronto wants you to join our team! We are looking for a Full-time Reporter to work evenings and weekends within our 24/7 streaming channels and scheduled newscasts.

 What you will do:

 Cover breaking news in the afternoon, evening and weekends for our streaming channels and scheduled newscasts, including live reports and packages
 Work with a dynamic team to produce broadly relevant television news stories which capture daily life in Toronto and the GTA.
 Deliver stories which will stand out from the competition, emphasizing creativity over traditional methods
 Pitch original and enterprise news stories

 What you will bring:

 A passion for news and storytelling - you know what makes a great story and know how to tell it
 An ability to find and report on stories about people and issues which reflect the diversity of Toronto
 Strong live reporting skills
 News moves fast! You must be able to multi-task and deliver content for multiple, daily broadcast deadlines


 Here’s what you can expect in return:

 A competitive salary and benefits which include access to our Employee Share Accumulation Program, Retirement Benefits and a variety of other perks.
 All equipment and technology required for you to perform your role provided prior to your start
 Leadership which supports your development and long-term career at Rogers
 A team that trusts and wants to win together
 Smart and accomplished colleagues who are focused on both the “what” and the “how”


 Schedule: Full time Shift: Weekend Length of Contract: Not Applicable (Regular Position) Work Location: 33 Dundas St. East (909), Toronto, ON Travel Requirements: Up to 75% Posting Category/Function: Broadcasting & News Requisition ID: 297138

 At Rogers, we believe the key to a strong business, is a diverse workforce where equity and inclusion are core to making everyone feel like they belong. We do this by embracing our diversity, celebrating our different perspectives, and working towards creating environments that empower our people to bring their whole selves to work. Everyone who applies for a job will be considered. We recognize the business value in creating a workplace where each team member has the tools to reach their full potential by removing any barriers for equal participation. We work with our candidates who are experiencing a disability throughout the recruitment process to ensure that they have what they need to be at their best. Please reach out to our recruiters and hiring managers to begin a conversation about how we can ensure that you deliver your best work. You matter to us! For any questions, please visit the Recruitment Process FAQ.

 Successful candidates will be required to complete a background check as part of the hiring process.  Posting Notes: Rogers Sports & Media
"
